useragent_string,browser_family,browser_version,operating_system,operating_system_version,device_family,is_mobile,is_tablet,is_touch_capable,is_pc,is_bot,overview
"Mozilla/5.0 (compatible; U; ABrowse 0.6; Syllable) AppleWebKit/420+ (KHTML, like Gecko)",Other,,Other,,Other,False,False,False,False,False,Other / Other / Other
"Mozilla/5.0 (compatible; U; ABrowse 0.6;  Syllable) AppleWebKit/420+ (KHTML, like Gecko)",Other,,Other,,Motorola  ,False,False,False,False,False,Motorola   / Other / Other
Mozilla/5.0 (compatible; ABrowse 0.4; Syllable),Other,,Other,,Other,False,False,False,False,False,Other / Other / Other
Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; Acoo Browser 1.98.744; .NET CLR 3.5.30729),IE,8,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / IE 8
Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; Acoo Browser 1.98.744; .NET CLR   3.5.30729),IE,8,Windows Vista,,Motorola  ,False,False,False,True,False,PC / Windows Vista / IE 8
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0;   Acoo Browser; GTB5; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1;   SV1) ; InfoPath.1; .NET CLR 3.5.30729; .NET CLR 3.0.30618),IE,8,Windows XP,,Motorola  ,False,False,False,True,False,PC / Windows XP / IE 8
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; Acoo Browser; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; Avant Browser),Avant,1,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / Avant 1
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Acoo Browser; SLCC1;   .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.0.04506),IE,7,Windows Vista,,Motorola  ,False,False,False,True,False,PC / Windows Vista / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Acoo Browser; GTB5; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; Maxthon; InfoPath.1; .NET CLR 3.5.30729; .NET CLR 3.0.30618),Maxthon,,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / Maxthon
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Acoo Browser; GTB5;,IE,7,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / IE 7
